id|name|district_id
1033|Mendo (Menduk)|96
1034|Payabenua|96
1035|Kota Kapur|96
1036|Labuh Air Pandan|96
1037|Kace Timur|96
1038|Kemuja|96
1039|Cengkong Abang|96
1040|Kace|96
1041|Air Buluh|96
1042|Air Duren|96
1043|Pagarawan|97
1044|Riding Panjang|97
1045|Kimak|97
1046|Merawang|97
1047|Jada Bahrin|97
1048|Jurung|97
1049|Baturusa|97
1050|Dwi Makmur|97
1051|Air Anyir|97
1052|Balun Ijuk|97
1053|Air Itam|98
1054|Temberan|98
1055|Bacang|98
1056|Sinar Bulan|98
1057|Pasir Putih|98
1058|Semabung Lama|98
1059|Air Mawar|98
1060|Bukit Besar|99
1061|Semabung Baru|99
1062|Sriwijaya|99
1063|Pasar Padi|99
1064|Pasir Putih|100
1065|Batu Intan|99
1066|Bintang|100
1067|Melintang|100
1068|Parit Lalang|100
1069|Keramat|100
1070|Asam|100
1071|Masjid Jamik|100
1072|Pintu Air|100
1073|Gedung Nasional|101
1074|Taman Bunga|102
1075|Tua Tunu indah|102
1076|Kacang Pedang|102
1077|Bukit Sari|102
1078|Kejaksaan|101
1079|Air Kepala Tujuh|102
1080|Bukit Merapin (Bukit Merapen)|102
1081|Opas Indah|101
1082|Rawa Bangun|101
1083|Jerambah Gantung|103
1084|Batin Tikal|101
1085|Selindung Baru|103
1086|Gabek Satu|103
1087|Gabek Dua|103
1088|Selindung (Selindung Lama)|103
1089|Lontong Pancur|104
1090|Pasir Garam|104
1091|Rejosari|104
1092|Ampui|104
1093|Air Salemba|103
1094|Ketapang|104
1095|Salira|105
1096|Sumuranja|105
1097|Margasari|105
1098|Pulo Ampel|105
1099|Pulo Panjang|105
1100|Banyuwangi|105
1101|Kedung Soka|105
1102|Mangunreja|105
1103|Argawana|105
1104|Pengarengan|106
1105|Ukirsari|106
1106|Wanakarta|106
1107|Mekar Jaya|106
1108|Pakuncen|106
1109|Margagiri|106
1110|Mangkunegara|106
1111|Kertasana|106
1112|Lambangsari|106
1113|Bojonegara|106
1114|Karangkepuh|106
1115|Waringinkurung|107
1116|Sukadalem|107
1117|Telaga Luhur|107
1118|Sampir|107
1119|Sasahan|107
1120|Sukabares|107
1121|Melati|107
1122|Sambilawang|107
1123|Cokopsulanjana|107
1124|Kemuning|107
1125|Binangun|107
1126|Gunungsugih|108
1127|Kepuh|108
1128|Randakari|108
1129|Kubangsari|108
1130|Tegalratu|108
1131|Samangraya|109
1132|Warnasari|109
1133|Deringo|109
1134|Lebakdenok|109
1135|Tamanbaru|109
1136|Kebonsari|109
1137|Banjar Negara|108
1138|Citangkil|109
1139|Suralaya|110
1140|Gerem|111
1141|Mekarsari|110
1142|Tamansari|110
1143|Purwakarta|112
1144|Tegal Bunder|112
1145|Rawa Arum|111
1146|Pabean|112
1147|Kotasari|111
1148|Gerogol/Grogol|111
1149|Kotabumi|112
1150|Ramanuju|112
1151|Kebondalem|112
1152|Lebak Gede|110
1153|Cikerai|113
1154|Karangasem|113
1155|Bulakan|113
1156|Cibeber|113
1157|Kalitimbang|113
1158|Bagendung|114
1159|Kedaleman|113
1160|Bendungan|114
1161|Ciwedus|114
1162|Sukmajaya|115
1163|Ketileng|114
1164|Ciwaduk|114
1165|Gedong Dalem|115
1166|Masigit|115
1167|Jombang Wetan|115
1168|Panggung Rawi|115
1169|Sukatani|116
1170|Wanasalam|116
1171|Parungpanjang|116
1172|Parungsari|116
1173|Muara|116
1174|Karangpamindangan|116
1175|Ketapang|116
1176|Cipeucang|116
1177|Cisarap|116
1178|Cilangkap|116
1179|Cipedang|116
1180|Bejod|116
1181|Cikeusik|116
1183|Sukasenang|118
1184|Mugijaya|117
1186|Kapunduhan|118
1187|Mekarjaya|118
1188|Cimega|118
1189|Cipalabuh|118
1190|Kandangsapi|118
1191|Cikaret|117
1194|Cikaratuan|118
1195|Cihujan|118
1196|Cijaku|118
1197|Cibungur|117
1199|Ciapus|118
1200|Cibeureum|118
1201|Warnasari|119
1202|Warungbanten|119
1203|Sinargalih|119
1204|Situmulya|119
1205|Sukamulya|119
1206|Mekarsari|119
1207|Neglasari|119
1208|Kujangjaya|119
1209|Kujangsari|119
1210|Citorek Timur (Ciparay)|119
1211|Gunungwangun|119
1212|Hegarmanah|119
1213|Citorek Kidul (Ciusul)|119
1214|Citorek Sabrang (Girimukti)|119
1215|Citorek Tengah|119
1216|Cisungsang|119
1217|Citorek Barat|119
1218|Cikadu|119
1219|Cikotok|119
1220|Cihambali|119
1221|Ciherang|119
1222|Suwakan|120
1223|Cibeber|119
1224|Sawarna|120
1225|Sawarna Timur|120
1226|Pamubulan|120
1227|Pasirgombong|120
1228|Pasirbungur|121
1229|Gunungbatu|121
1230|Lebaktipar|121
1231|Girimukti|121
1232|Darmasari|120
1233|Cireundeu|121
1234|Cisuren|120
1235|Cilograng|121
1236|Cimancak|120
1237|Cikamunding|121
1238|Cikatomas|121
1239|Cijengkol|121
1240|Cidikit|120
1241|Cibareno|121
1242|Bayah Barat|120
1243|Bayah Timur|120
1244|Sogong|122
1245|Sukajadi|122
1246|Sindangratu|122
1247|Situragen|122
1248|Pondokpanjang|123
1249|Panggarangan|122
1250|Panyaungan|123
1251|Mekarjaya|122
1252|Mekarsari|123
1253|Karangkamulyan|123
1254|Lebak Peundeuy|123
1255|Hegarmanah|122
1256|Jatake|122
1257|Gunung Gede|122
1258|Citepuseun|123
1259|Cimandiri|122
1260|Ciparahu|123
1261|Cihara|123
1262|Cibarengkok|122
1263|Sumber Waras|124
1264|Barunai|123
