id|name|city_id
740|Pagerageung|60
741|Kalipucang|61
742|Indihiang|483
743|Pangandaran|61
744|Cimerak|61
745|Cijulang|61
746|Parigi|61
747|Cigugur|61
748|Langkaplancar|61
749|Tambaksari|62
750|Rancah|62
751|Cisaga|62
752|Lakbok|62
753|Purwadadi|62
754|Padaherang|61
755|Banjarsari|62
756|Pamarican|62
757|Cimaragas|62
758|Mangunjaya|61
759|Sidamulih|61
760|Cidolog|62
761|Langensari|63
762|Purwaharja|63
763|Pataruman|63
764|Banjar|63
765|Baregbeg|62
766|Jatinagara|62
767|Sukadana|62
768|Cijeungjing|62
769|Sindangkasih|62
770|Sukamantri|62
771|Panjalu|62
772|Panumbangan|62
773|Cihaurbeuti|62
774|Cikoneng|62
775|Lumbung|62
776|Sadananya|62
777|Panawangan|62
778|Rajadesa|62
779|Kawali|62
780|Cipaku|62
781|Ciamis|62
782|Karang Jaya|60
783|Cineam|60
784|Manonjaya|60
785|Tamansari|483
786|Purbaratu|483
787|Cikalong|60
788|Pancatengah|60
789|Cikatomas|60
790|Salopa|60
791|Cipatujah|60
792|Bantarkalong|60
793|Culamega|60
794|Karangnunggal|60
795|Jatiwaras|60
796|Cibalong|60
797|Parungponteng|60
798|Tanjungjaya|60
799|Sukaraja|60
800|Rajapolah|60
801|Kawalu|483
802|Mangkubumi|483
803|Jamanis|60
804|Kadipaten|60
805|Ciawi|60
806|Sukahening|60
807|Cisayong|60
808|Bungursari|483
809|Cipedes|483
810|Cihideung|483
811|Tawang|483
812|Dukupuntang|64
813|Weru|64
814|Sumber|64
815|Cidahu|65
816|Kalimanggis|65
817|Cipicung|65
818|Ciawigebang|65
819|Cibeureum|65
820|Cibingbin|65
821|Subang|65
822|Cilebak|65
823|Karangkancana|65
824|Ciwaru|65
825|Cimahi|65
826|Luragung|65
827|Maleber|65
828|Lebakwangi|65
829|Sindangagung|65
830|Garawangi|65
831|Selajambe|65
832|Ciniru|65
833|Hantara|65
834|Nusaherang|65
835|Darma|65
836|Kadugede|65
837|Pasawahan|65
838|Mandirancan|65
839|Pancalang|65
840|Cigandamekar|65
841|Cilimus|65
842|Japara|65
843|Jalaksana|65
844|Kramat Mulya|65
845|Cigugur|65
846|Kuningan|65
847|Cigasong|66
848|Palasah|66
849|Sindangwangi|66
850|Leuwimunding|66
851|Rajagaluh|66
852|Sukahaji|66
853|Sindang|66
854|Banjaran|66
855|Sumberjaya|66
856|Cingambul|66
857|Cikijing|66
858|Lemahsugih|66
859|Bantarujeg|66
860|Malausma|66
861|Talaga|66
862|Argapura|66
863|Maja|66
864|Panyingkiran|66
865|Jatitujuh|66
866|Kertajati|66
867|Ligung|66
868|Jatiwangi|66
869|Dawuan|66
870|Kasokandel|66
871|Kadipaten|66
872|Majalengka|66
873|Surian|67
874|Buahdua|67
875|Conggeang|67
876|Ujungjaya|67
877|Tomo|67
878|Paseh|67
879|Jatigede|67
880|Jatinunggal|67
881|Cibugel|67
882|Wado|67
883|Darmaraja|67
884|Situraja|67
